t,act_x,act_y,act_z,act_r,act_p,act_yaw,r1,tgt_x,tgt_y,tgt_z,tgt_qx,tgt_qy,tgt_qz,tgt_qw,mes_x,mes_y,mes_z,mes_qx,mes_qy,mes_qz,mes_qw,mes_roll,mes_pitch,mes_yaw,vel_x,vel_y,vel_z,vel_r,vel_p,vel_yaw,fx,fy,fz,tx,ty,tz,q0,q1,q2,q3,q4,q5,q6
0.002533,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.412036,-0.088586,0.189895,0.992035,0.123787,0.005577,0.022631,0.412038,-0.088587,0.189896,0.992035,0.123790,0.005579,0.022635,3.095285,-0.005466,0.248410,0.000392,-0.000784,0.000468,-0.001913,-0.002443,0.000006,-1.784217,0.650146,-0.660889,-1.285551,-0.795794,-0.020423,-0.438550,-0.257008,0.247308,-2.626903,0.033929,2.402064,0.314054
0.052034,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.412036,-0.088586,0.189895,0.992035,0.123787,0.005577,0.022631,0.411983,-0.088585,0.189807,0.992039,0.123777,0.005447,0.022546,3.095495,-0.005225,0.248379,-0.001590,0.000481,-0.003295,0.004131,0.008504,0.001729,-1.773492,0.458046,-0.533155,-1.004090,-0.810131,-0.014107,-0.438552,-0.256806,0.247259,-2.626893,0.033962,2.401939,0.314006
0.101977,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.412036,-0.088586,0.189895,0.992035,0.123787,0.005577,0.022631,0.411948,-0.088574,0.189693,0.992042,0.123776,0.005327,0.022463,3.095689,-0.005008,0.248369,-0.000136,0.000190,-0.001751,0.002515,0.003206,-0.000373,-1.640895,0.375783,-0.458874,-0.839141,-0.768618,0.001096,-0.438559,-0.256512,0.247245,-2.626876,0.033973,2.401927,0.313987
0.151202,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.412036,-0.088586,0.189895,0.992035,0.123787,0.005577,0.022631,0.411925,-0.088563,0.189618,0.992043,0.123779,0.005247,0.022413,3.095809,-0.004862,0.248373,0.000044,0.000461,-0.000150,-0.000042,0.000756,0.000637,-1.630062,0.377722,-0.498537,-0.782785,-0.755024,0.012170,-0.438560,-0.256325,0.247245,-2.626868,0.033974,2.401918,0.313981
0.201251,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.412036,-0.088586,0.189895,0.992035,0.123787,0.005577,0.022631,0.411906,-0.088559,0.189571,0.992044,0.123778,0.005196,0.022381,3.095885,-0.004770,0.248366,0.000068,-0.000501,0.000196,0.000381,-0.000237,-0.001067,-1.617193,0.388400,-0.435242,-0.763100,-0.780070,0.020810,-0.438566,-0.256219,0.247241,-2.626876,0.033978,2.401912,0.313974
0.252064,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.412036,-0.088586,0.189895,0.992035,0.123787,0.005577,0.022631,0.411897,-0.088551,0.189547,0.992044,0.123780,0.005170,0.022363,3.095925,-0.004722,0.248370,0.000052,0.000534,-0.000603,0.000598,0.000331,-0.000238,-1.607635,0.362564,-0.496782,-0.729751,-0.756015,0.009966,-0.438561,-0.256165,0.247248,-2.626880,0.033984,2.401908,0.313976
0.302014,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.412036,-0.088586,0.189895,0.992035,0.123787,0.005577,0.022631,0.411896,-0.088550,0.189539,0.992044,0.123780,0.005163,0.022356,3.095941,-0.004709,0.248370,0.000385,0.000564,-0.000327,-0.000282,0.000272,0.002173,-1.616793,0.405543,-0.393409,-0.728012,-0.803322,0.025991,-0.438563,-0.256141,0.247246,-2.626874,0.033988,2.401907,0.313970
0.352020,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.412036,-0.088586,0.189895,0.992035,0.123787,0.005577,0.022631,0.411894,-0.088551,0.189531,0.992045,0.123774,0.005155,0.022348,3.095959,-0.004696,0.248357,-0.000050,0.000052,-0.000103,-0.000109,0.000338,-0.000590,-1.570842,0.386133,-0.448430,-0.704107,-0.764922,0.022006,-0.438564,-0.256119,0.247240,-2.626870,0.033993,2.401905,0.313973
0.402013,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.412036,-0.088586,0.189895,0.992035,0.123787,0.005577,0.022631,0.411895,-0.088550,0.189531,0.992045,0.123774,0.005154,0.022345,3.095965,-0.004695,0.248356,0.000305,0.000116,0.000193,-0.000528,-0.000778,0.001101,-1.572430,0.362952,-0.367413,-0.682287,-0.800936,0.013051,-0.438567,-0.256116,0.247244,-2.626867,0.034001,2.401901,0.313969
0.452086,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.412036,-0.088586,0.189895,0.992035,0.123787,0.005577,0.022631,0.411894,-0.088550,0.189528,0.992046,0.123771,0.005151,0.022341,3.095975,-0.004690,0.248351,-0.000214,-0.000134,-0.000338,-0.000426,0.001172,0.001175,-1.621331,0.433715,-0.403261,-0.691418,-0.810786,0.032815,-0.438563,-0.256106,0.247237,-2.626865,0.034005,2.401899,0.313969
