t,act_x,act_y,act_z,act_r,act_p,act_yaw,r1,tgt_x,tgt_y,tgt_z,tgt_qx,tgt_qy,tgt_qz,tgt_qw,mes_x,mes_y,mes_z,mes_qx,mes_qy,mes_qz,mes_qw,mes_roll,mes_pitch,mes_yaw,vel_x,vel_y,vel_z,vel_r,vel_p,vel_yaw,fx,fy,fz,tx,ty,tz,q0,q1,q2,q3,q4,q5,q6
0.005025,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.449905,-0.125817,0.244568,0.996349,-0.060972,-0.055483,0.022196,0.449904,-0.125818,0.244566,0.996349,-0.060971,-0.055484,0.022197,3.090272,0.108067,-0.125013,-0.000048,0.000509,-0.000732,0.000190,0.001452,0.001155,1.279219,-0.086784,0.839748,-1.112570,0.700564,0.099534,-0.477888,-0.126253,0.228047,-2.305721,-0.041507,2.081723,0.676734
0.052588,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.449905,-0.125817,0.244568,0.996349,-0.060972,-0.055483,0.022196,0.449917,-0.125810,0.244572,0.996351,-0.060965,-0.055459,0.022178,3.090315,0.108019,-0.124997,0.000617,0.000850,-0.000378,-0.000299,-0.000334,0.000896,0.837983,0.026013,0.806584,-0.854005,0.336339,0.092018,-0.477882,-0.126259,0.228044,-2.305718,-0.041453,2.081759,0.676698
0.103490,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.449905,-0.125817,0.244568,0.996349,-0.060972,-0.055483,0.022196,0.449918,-0.125807,0.244571,0.996352,-0.060961,-0.055455,0.022170,3.090332,0.108012,-0.124988,0.000148,0.001218,-0.000103,0.000258,-0.000024,0.002908,0.506256,0.225467,0.765819,-0.718287,0.071074,0.141300,-0.477880,-0.126260,0.228040,-2.305722,-0.041434,2.081767,0.676678
0.153156,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.449905,-0.125817,0.244568,0.996349,-0.060972,-0.055483,0.022196,0.449919,-0.125810,0.244570,0.996352,-0.060964,-0.055453,0.022167,3.090338,0.108009,-0.124992,-0.000332,-0.000323,-0.001064,0.000316,0.001757,-0.000993,0.400264,0.226160,0.754497,-0.644244,-0.008264,0.125230,-0.477884,-0.126258,0.228037,-2.305722,-0.041428,2.081772,0.676673
0.203349,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.449905,-0.125817,0.244568,0.996349,-0.060972,-0.055483,0.022196,0.449921,-0.125808,0.244573,0.996352,-0.060969,-0.055448,0.022160,3.090351,0.107999,-0.125002,0.000460,-0.000612,0.000433,-0.000164,-0.001244,-0.002302,0.353854,0.262769,0.741543,-0.614211,-0.039719,0.136619,-0.477884,-0.126260,0.228034,-2.305718,-0.041410,2.081774,0.676671
0.252619,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.449905,-0.125817,0.244568,0.996349,-0.060972,-0.055483,0.022196,0.449919,-0.125807,0.244569,0.996352,-0.060971,-0.055450,0.022153,3.090367,0.108004,-0.125006,-0.000105,0.000282,-0.000608,0.001225,0.000324,0.000789,0.270717,0.252865,0.783797,-0.570946,-0.106167,0.117454,-0.477882,-0.126257,0.228029,-2.305725,-0.041396,2.081777,0.676665
0.303588,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.449905,-0.125817,0.244568,0.996349,-0.060972,-0.055483,0.022196,0.449921,-0.125803,0.244571,0.996352,-0.060976,-0.055447,0.022146,3.090379,0.107998,-0.125015,-0.000377,-0.001033,0.000208,-0.001281,0.000589,-0.002232,0.230277,0.319635,0.828841,-0.564444,-0.153991,0.138851,-0.477884,-0.126260,0.228033,-2.305723,-0.041378,2.081776,0.676667
0.353509,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.449905,-0.125817,0.244568,0.996349,-0.060972,-0.055483,0.022196,0.449921,-0.125802,0.244571,0.996352,-0.060983,-0.055444,0.022136,3.090398,0.107994,-0.125028,-0.000021,-0.000594,-0.000060,0.001315,-0.000684,-0.001556,0.226615,0.318471,0.792191,-0.519096,-0.146845,0.134192,-0.477884,-0.126261,0.228026,-2.305725,-0.041355,2.081777,0.676663
0.403478,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.449905,-0.125817,0.244568,0.996349,-0.060972,-0.055483,0.022196,0.449921,-0.125800,0.244571,0.996352,-0.060983,-0.055443,0.022134,3.090404,0.107992,-0.125027,0.000320,-0.000059,0.000438,0.000433,-0.001678,-0.000291,0.196183,0.341336,0.801027,-0.509415,-0.167842,0.139865,-0.477879,-0.126263,0.228023,-2.305726,-0.041349,2.081778,0.676660
0.456618,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.449905,-0.125817,0.244568,0.996349,-0.060972,-0.055483,0.022196,0.449921,-0.125801,0.244571,0.996352,-0.060988,-0.055443,0.022131,3.090410,0.107992,-0.125037,0.000522,-0.000488,0.001430,-0.001362,-0.002494,-0.001797,0.206491,0.265695,0.762619,-0.457203,-0.146351,0.107106,-0.477885,-0.126263,0.228023,-2.305725,-0.041342,2.081776,0.676661
