t,act_x,act_y,act_z,act_r,act_p,act_yaw,r1,tgt_x,tgt_y,tgt_z,tgt_qx,tgt_qy,tgt_qz,tgt_qw,mes_x,mes_y,mes_z,mes_qx,mes_qy,mes_qz,mes_qw,mes_roll,mes_pitch,mes_yaw,vel_x,vel_y,vel_z,vel_r,vel_p,vel_yaw,fx,fy,fz,tx,ty,tz,q0,q1,q2,q3,q4,q5,q6
0.012359,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.393491,-0.007826,0.149754,0.990451,-0.137179,0.013580,0.001878,0.393491,-0.007828,0.149755,0.990451,-0.137182,0.013581,0.001876,-3.141584,-0.027421,-0.275259,0.000171,-0.000174,0.000050,0.000719,-0.000483,-0.000695,-2.105442,0.812290,-0.032240,-0.459584,-1.131354,0.233004,-0.318174,-0.252156,0.321527,-2.746171,0.124819,2.529270,0.954175
0.054331,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.393491,-0.007826,0.149754,0.990451,-0.137179,0.013580,0.001878,0.393490,-0.007828,0.149754,0.990451,-0.137180,0.013580,0.001877,-3.141586,-0.027418,-0.275254,0.000268,0.000142,0.000517,-0.000277,-0.001372,0.002293,-2.125659,0.813406,0.099612,-0.455046,-1.186199,0.232842,-0.318173,-0.252157,0.321526,-2.746172,0.124817,2.529268,0.954173
0.101948,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.393491,-0.007826,0.149754,0.990451,-0.137179,0.013580,0.001878,0.393473,-0.007829,0.149736,0.990450,-0.137190,0.013535,0.001872,-3.141587,-0.027328,-0.275275,0.000350,0.000385,0.000257,0.000596,0.000448,0.000023,-1.986371,0.796722,0.113053,-0.440159,-1.098560,0.237188,-0.318177,-0.252112,0.321515,-2.746162,0.124818,2.529212,0.954178
0.151336,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.393491,-0.007826,0.149754,0.990451,-0.137179,0.013580,0.001878,0.393448,-0.007833,0.149729,0.990450,-0.137200,0.013481,0.001871,3.141586,-0.027221,-0.275294,-0.001185,-0.000058,-0.000593,0.000532,0.003678,0.000347,-1.979953,0.721800,0.280523,-0.389779,-1.109816,0.225814,-0.318180,-0.252115,0.321496,-2.746157,0.124820,2.529096,0.954175
0.203258,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.393491,-0.007826,0.149754,0.990451,-0.137179,0.013580,0.001878,0.393441,-0.007835,0.149725,0.990449,-0.137207,0.013460,0.001870,3.141583,-0.027178,-0.275307,0.000657,0.000473,0.000776,0.000526,-0.000795,-0.001888,-1.938948,0.694419,0.357700,-0.356141,-1.096222,0.225793,-0.318181,-0.252106,0.321488,-2.746146,0.124817,2.529051,0.954182
0.252316,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.393491,-0.007826,0.149754,0.990451,-0.137179,0.013580,0.001878,0.393427,-0.007837,0.149715,0.990450,-0.137207,0.013430,0.001869,3.141577,-0.027120,-0.275308,-0.000481,0.000121,-0.000409,0.000693,0.002036,0.000431,-2.002476,0.676100,0.416482,-0.352605,-1.128084,0.219002,-0.318185,-0.252090,0.321482,-2.746148,0.124817,2.529010,0.954172
0.302947,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.393491,-0.007826,0.149754,0.990451,-0.137179,0.013580,0.001878,0.393421,-0.007834,0.149713,0.990449,-0.137209,0.013415,0.001867,3.141575,-0.027090,-0.275312,0.000182,0.000551,0.000032,0.000891,0.000311,0.000413,-1.948107,0.667281,0.432465,-0.346465,-1.101219,0.216229,-0.318181,-0.252087,0.321481,-2.746144,0.124821,2.528978,0.954177
0.353129,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.393491,-0.007826,0.149754,0.990451,-0.137179,0.013580,0.001878,0.393414,-0.007836,0.149707,0.990449,-0.137214,0.013401,0.001867,3.141573,-0.027062,-0.275321,-0.000106,0.000701,-0.000327,0.000681,0.000562,-0.000563,-1.931058,0.648682,0.426130,-0.340240,-1.093407,0.209751,-0.318184,-0.252078,0.321475,-2.746146,0.124819,2.528961,0.954179
0.402329,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.393491,-0.007826,0.149754,0.990451,-0.137179,0.013580,0.001878,0.393415,-0.007837,0.149710,0.990449,-0.137213,0.013403,0.001868,3.141571,-0.027065,-0.275320,0.000658,0.000543,0.000679,-0.001115,-0.002733,0.000763,-1.897657,0.637165,0.382348,-0.332142,-1.064305,0.205737,-0.318186,-0.252082,0.321477,-2.746141,0.124817,2.528955,0.954179
0.452468,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.393491,-0.007826,0.149754,0.990451,-0.137179,0.013580,0.001878,0.393409,-0.007836,0.149703,0.990449,-0.137214,0.013389,0.001867,3.141568,-0.027039,-0.275321,-0.000304,0.000183,-0.000203,-0.000143,-0.000510,-0.002580,-1.957993,0.711858,0.461226,-0.361322,-1.113951,0.230124,-0.318183,-0.252071,0.321474,-2.746144,0.124814,2.528942,0.954182
0.503093,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.393491,-0.007826,0.149754,0.990451,-0.137179,0.013580,0.001878,0.393406,-0.007837,0.149701,0.990449,-0.137216,0.013382,0.001866,3.141569,-0.027024,-0.275326,0.000218,0.000094,-0.000093,0.000632,-0.000216,-0.001248,-1.892751,0.653205,0.391235,-0.343341,-1.062291,0.210033,-0.318184,-0.252066,0.321469,-2.746143,0.124817,2.528931,0.954179
0.553115,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.393491,-0.007826,0.149754,0.990451,-0.137179,0.013580,0.001878,0.393408,-0.007836,0.149703,0.990449,-0.137215,0.013383,0.001865,3.141570,-0.027025,-0.275323,-0.000135,0.000400,0.000211,0.000940,0.001459,-0.000336,-1.896409,0.672654,0.381727,-0.348517,-1.061518,0.218956,-0.318186,-0.252067,0.321472,-2.746135,0.124818,2.528924,0.954176
0.604157,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.393491,-0.007826,0.149754,0.990451,-0.137179,0.013580,0.001878,0.393407,-0.007840,0.149702,0.990449,-0.137216,0.013380,0.001866,3.141568,-0.027019,-0.275326,0.000751,-0.000161,0.000613,-0.000736,-0.002058,0.000816,-1.893763,0.621381,0.383983,-0.329261,-1.056926,0.203672,-0.318190,-0.252064,0.321466,-2.746135,0.124814,2.528921,0.954174
0.653308,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.393491,-0.007826,0.149754,0.990451,-0.137179,0.013580,0.001878,0.393399,-0.007837,0.149695,0.990449,-0.137216,0.013363,0.001864,3.141568,-0.026986,-0.275325,-0.000666,-0.000034,-0.000503,-0.000215,0.003426,0.000031,-1.908310,0.699879,0.502766,-0.348478,-1.102909,0.231459,-0.318188,-0.252051,0.321466,-2.746138,0.124818,2.528903,0.954172
0.704298,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.393491,-0.007826,0.149754,0.990451,-0.137179,0.013580,0.001878,0.393402,-0.007838,0.149699,0.990449,-0.137215,0.013370,0.001866,3.141566,-0.026999,-0.275323,0.000154,0.000071,0.000157,-0.001592,-0.001422,0.002222,-1.919689,0.668866,0.435286,-0.344647,-1.087362,0.217335,-0.318186,-0.252057,0.321466,-2.746135,0.124812,2.528907,0.954176
0.754219,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.393491,-0.007826,0.149754,0.990451,-0.137179,0.013580,0.001878,0.393404,-0.007837,0.149699,0.990449,-0.137216,0.013369,0.001864,3.141570,-0.026998,-0.275325,0.000694,0.000207,0.000657,0.000548,-0.001496,-0.000302,-1.944005,0.649986,0.406928,-0.335646,-1.084804,0.211626,-0.318185,-0.252054,0.321464,-2.746130,0.124817,2.528905,0.954174
0.804480,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.393491,-0.007826,0.149754,0.990451,-0.137179,0.013580,0.001878,0.393400,-0.007837,0.149696,0.990449,-0.137216,0.013363,0.001863,3.141569,-0.026986,-0.275326,-0.000156,0.000377,-0.000418,0.000126,0.000898,0.000733,-1.928197,0.655238,0.435595,-0.341204,-1.085912,0.211477,-0.318184,-0.252049,0.321463,-2.746132,0.124817,2.528899,0.954175
0.854278,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.393491,-0.007826,0.149754,0.990451,-0.137179,0.013580,0.001878,0.393402,-0.007839,0.149697,0.990449,-0.137217,0.013364,0.001863,3.141569,-0.026987,-0.275327,0.000681,0.000213,0.000509,0.000174,-0.001556,0.001420,-1.950941,0.660116,0.420443,-0.337010,-1.092729,0.215494,-0.318186,-0.252048,0.321459,-2.746128,0.124815,2.528896,0.954171
0.903439,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.393491,-0.007826,0.149754,0.990451,-0.137179,0.013580,0.001878,0.393397,-0.007840,0.149693,0.990449,-0.137218,0.013357,0.001864,3.141565,-0.026973,-0.275330,-0.000007,-0.000276,-0.000056,-0.000341,0.000280,-0.000363,-1.937023,0.660186,0.376458,-0.341265,-1.068512,0.212689,-0.318190,-0.252043,0.321461,-2.746133,0.124812,2.528893,0.954175
0.954306,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.393491,-0.007826,0.149754,0.990451,-0.137179,0.013580,0.001878,0.393399,-0.007837,0.149695,0.990449,-0.137218,0.013359,0.001863,3.141568,-0.026978,-0.275329,0.000246,0.000261,0.000565,-0.000429,-0.001678,-0.000298,-1.919221,0.670212,0.412664,-0.345254,-1.075487,0.218326,-0.318186,-0.252046,0.321463,-2.746130,0.124817,2.528892,0.954175
1.004255,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.393491,-0.007826,0.149754,0.990451,-0.137179,0.013580,0.001878,0.393399,-0.007838,0.149694,0.990449,-0.137220,0.013357,0.001862,3.141569,-0.026973,-0.275334,-0.000936,0.000149,-0.000801,0.000259,0.002617,-0.001664,-1.832753,0.651373,0.415447,-0.339944,-1.045279,0.209473,-0.318186,-0.252042,0.321460,-2.746127,0.124816,2.528889,0.954178
