step,ep,r1,l1,raw_ly,raw_lx,raw_r2,raw_l2,r2_ready,l2_ready,act0,act1,act2,contact,progress,paused,shielded,meas_x,meas_y,meas_z
0,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.333,0,0,0.2492,-0.0049,0.0616
1,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.667,0,0,0.2488,-0.0043,0.0574
2,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,1.000,0,0,0.2489,-0.0046,0.0567
3,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,1.000,0,0,0.2489,-0.0044,0.0570
4,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,1.000,0,0,0.2489,-0.0045,0.0572
5,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,1.000,0,0,0.2489,-0.0045,0.0572
6,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,1.000,0,0,0.2489,-0.0045,0.0572
7,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,1.000,0,0,0.2489,-0.0045,0.0572
8,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,1.000,0,0,0.2489,-0.0045,0.0572
9,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,1.000,0,0,0.2489,-0.0045,0.0572
10,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,1.000,0,0,0.2489,-0.0045,0.0572
11,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,1.000,0,0,0.2489,-0.0045,0.0572
12,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,1.000,0,0,0.2489,-0.0045,0.0572
13,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,1.000,0,0,0.2489,-0.0045,0.0572
