step,ep,r1,l1,raw_ly,raw_lx,raw_r2,raw_l2,r2_ready,l2_ready,act0,act1,act2,contact,progress,paused,shielded,cmd_z,meas_x,meas_y,meas_z
0,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0623,0.2497,-0.0048,0.0623
1,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0623,0.2498,-0.0050,0.0620
2,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0623,0.2498,-0.0050,0.0620
3,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0623,0.2497,-0.0050,0.0621
4,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0623,0.2498,-0.0050,0.0621
5,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0623,0.2498,-0.0050,0.0621
6,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0623,0.2498,-0.0050,0.0621
7,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0623,0.2498,-0.0050,0.0621
8,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0623,0.2498,-0.0050,0.0621
9,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0623,0.2498,-0.0050,0.0621
10,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0623,0.2498,-0.0050,0.0621
11,0,1,0,0.000,0.000,0.000,0.000,0,0,-0.000,0.000,0.000,0,0.200,0,0,0.0614,0.2498,-0.0050,0.0620
12,0,1,0,0.000,0.000,0.000,0.000,0,0,-0.000,0.000,0.000,0,0.400,0,0,0.0604,0.2495,-0.0049,0.0612
13,0,1,0,0.000,0.000,0.000,0.000,0,0,-0.000,0.000,0.000,0,0.600,0,0,0.0595,0.2494,-0.0048,0.0603
14,0,1,0,0.000,0.000,0.000,0.000,0,0,-0.000,0.000,0.000,0,0.800,0,0,0.0586,0.2492,-0.0047,0.0594
15,0,1,0,0.000,0.000,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2490,-0.0046,0.0585
16,0,1,0,0.000,0.000,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2490,-0.0045,0.0578
17,0,1,0,0.000,0.000,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2490,-0.0046,0.0577
18,0,1,0,0.000,0.000,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2490,-0.0046,0.0577
19,0,1,0,0.000,0.000,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2490,-0.0046,0.0577
20,0,1,0,0.000,0.000,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2490,-0.0046,0.0577
21,0,1,0,0.000,0.000,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2490,-0.0046,0.0577
22,0,1,0,0.000,0.000,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2490,-0.0046,0.0577
23,0,1,0,0.000,0.000,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2490,-0.0046,0.0577
24,0,1,0,0.000,0.000,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2490,-0.0046,0.0577
25,0,1,0,0.000,0.000,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2490,-0.0046,0.0577
26,0,1,0,0.000,0.000,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2490,-0.0046,0.0577
27,0,1,0,0.000,0.000,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2490,-0.0046,0.0577
28,0,1,0,0.000,0.000,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2490,-0.0046,0.0577
29,0,1,0,0.000,0.000,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2490,-0.0046,0.0577
30,0,1,0,0.000,0.000,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2490,-0.0046,0.0577
31,0,1,0,0.000,0.000,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2490,-0.0046,0.0577
32,0,1,0,0.000,0.000,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2490,-0.0046,0.0577
33,0,1,0,0.000,0.000,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2490,-0.0046,0.0577
34,0,1,0,0.000,0.000,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2490,-0.0046,0.0577
35,0,1,0,0.000,0.000,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2490,-0.0046,0.0577
36,0,1,0,0.000,0.000,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2490,-0.0046,0.0577
37,0,1,0,0.000,0.000,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2490,-0.0046,0.0577
38,0,1,0,0.000,0.000,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2490,-0.0046,0.0577
39,0,1,0,0.000,0.000,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2490,-0.0046,0.0577
40,0,1,0,0.000,0.000,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2490,-0.0046,0.0577
